term,estimate,std_error_hc3,p_value,ci_low,ci_high
Intercept,0.24214886767455704,0.08240282812226758,0.0032969935071875726,0.08064229233066825,0.4036554430184458
year_c,-0.0164393270802987,0.014032231659077802,0.24138160607879267,-0.04394199575481392,0.011063341594216524
post_2023,0.11716620462613511,0.07742355131460142,0.13019971983048834,-0.03458116750567242,0.26891357675794264
post_slope,-0.010749444722477505,0.05275628619855932,0.838543661796076,-0.11414986562974129,0.09265097618478628
