Year,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13
2015,0.5,0.2,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,0.30392156862745096,0.45098039215686275,0.0784313725490196,0.058823529411764705,0.0196078431372549,0.0,0.00980392156862745,0.0196078431372549,0.00980392156862745,0.029411764705882353,0.00980392156862745,0.00980392156862745,0.0,0.0,0.0
2017,0.2397003745318352,0.30337078651685395,0.02247191011235955,0.0898876404494382,0.07865168539325842,0.02247191011235955,0.003745318352059925,0.2247191011235955,0.0,0.003745318352059925,0.0,0.0,0.0,0.00749063670411985,0.003745318352059925
2018,0.23466666666666666,0.28,0.18666666666666668,0.034666666666666665,0.06133333333333333,0.058666666666666666,0.018666666666666668,0.050666666666666665,0.0,0.005333333333333333,0.018666666666666668,0.0,0.005333333333333333,0.032,0.013333333333333334
2019,0.26229508196721313,0.26639344262295084,0.20901639344262296,0.0860655737704918,0.04918032786885246,0.01639344262295082,0.00819672131147541,0.01639344262295082,0.0,0.00819672131147541,0.028688524590163935,0.004098360655737705,0.02459016393442623,0.012295081967213115,0.00819672131147541
2020,0.28426395939086296,0.14720812182741116,0.11421319796954314,0.030456852791878174,0.03807106598984772,0.017766497461928935,0.025380710659898477,0.007614213197969543,0.0025380710659898475,0.15228426395939088,0.02030456852791878,0.11421319796954314,0.027918781725888325,0.017766497461928935,0.0
2021,0.31448763250883394,0.17314487632508835,0.07773851590106007,0.05653710247349823,0.038869257950530034,0.024734982332155476,0.13074204946996468,0.0353356890459364,0.0035335689045936395,0.038869257950530034,0.03180212014134275,0.04240282685512368,0.024734982332155476,0.007067137809187279,0.0
2022,0.2730627306273063,0.12546125461254612,0.04428044280442804,0.1881918819188192,0.05166051660516605,0.04428044280442804,0.05904059040590406,0.02214022140221402,0.06273062730627306,0.033210332103321034,0.033210332103321034,0.0,0.014760147601476014,0.04059040590405904,0.007380073800738007
2023,0.38240574506283664,0.11310592459605028,0.07899461400359066,0.12567324955116696,0.06822262118491922,0.06642728904847396,0.03949730700179533,0.02154398563734291,0.026929982046678635,0.003590664272890485,0.012567324955116697,0.003590664272890485,0.019748653500897665,0.00718132854578097,0.03052064631956912
2024,0.31462925851703405,0.11623246492985972,0.09418837675350701,0.0841683366733467,0.07615230460921844,0.0781563126252505,0.052104208416833664,0.04408817635270541,0.03406813627254509,0.006012024048096192,0.04208416833667335,0.0,0.022044088176352707,0.01603206412825651,0.02004008016032064
2025,0.2625,0.1625,0.075,0.1078125,0.0765625,0.04375,0.0484375,0.0203125,0.1046875,0.0203125,0.05,0.003125,0.003125,0.0046875,0.0171875
