service_area,mean,ci_low,ci_high,n
Other / economy / society,0.1249665915966034,0.08866085489829548,0.1612723282949113,746
Public administration & regulation,0.2013084441423416,0.16503960436582682,0.2375772839188564,624
Health & social care,0.31428858637809753,0.27063274114270236,0.3579444316134927,503
Education & skills,0.1942032128572464,0.1468869808853942,0.2415194448290986,467
"Policing, justice & security",0.040153030306100845,-0.009921475908309621,0.09022753652051131,382
Transport & infrastructure,0.23129895329475403,0.18412304849658928,0.2784748580929188,376
"Defence, borders & immigration",0.23171019554138184,0.17614329375018312,0.28727709733258056,262
Welfare & employment,0.20226216316223145,0.13033665402730304,0.27418767229715985,225
"Tax, revenue & public finance",0.018449371680617332,-0.09157021430748893,0.1284689576687236,77
