PartyGroup,mean,ci_low,ci_high,n
Conservative,0.2877945005893707,0.2642740895311346,0.31131491164760683,1561
Labour,0.11047390103340149,0.08036078972887889,0.1405870123379241,1150
Liberal Democrat,0.09346286207437515,0.042815477574205625,0.1441102465745447,341
Crossbench,0.15104413032531738,0.09347907888011167,0.2086091817705231,272
Scottish National Party,-0.0026703292969614267,-0.09684583563928899,0.09150517704536613,97
Non-affiliated,0.12095855921506882,-0.0026898029458889,0.24460692137602652,65
Independent,0.04769011586904526,-0.07285886763944271,0.16823909937753323,59
Bishops,0.4103415310382843,0.23769578848291437,0.5829872735936542,29
Green Party,-0.03454313427209854,-0.22648821031112212,0.15740194176692504,26
